province_state,country_region,last_update,confirmed,deaths,recovered,latitude,longitude
NA,Malta,2020-03-22T14:43:19Z,90,0,2,35.9375,14.3754
Iowa,US,2020-03-22T19:43:03Z,90,0,0,42.0115,-93.2105
NA,Albania,2020-03-22T14:43:19Z,89,2,2,41.1533,20.1683
Maine,US,2020-03-22T18:13:51Z,89,0,0,44.6939,-69.3819
NA,Brunei,2020-03-22T16:43:07Z,88,0,2,4.5353,114.7277
NA,Cambodia,2020-03-22T16:43:07Z,84,0,1,12.5657,104.991
Rhode Island,US,2020-03-22T19:43:03Z,83,0,0,41.6809,-71.5118
NA,Sri Lanka,2020-03-22T14:43:19Z,82,0,3,7.8731,80.7718
NA,Belarus,2020-03-21T20:43:03Z,76,0,15,53.7098,27.9534
Xinjiang,China,2020-03-11T02:18:14Z,76,3,73,41.1129,85.2401
NA,Burkina Faso,2020-03-22T14:43:19Z,75,4,5,12.2383,-1.5616
Inner Mongolia,China,2020-03-19T01:03:02Z,75,1,74,44.0935,113.9448
Ningxia,China,2020-03-16T14:38:45Z,75,0,75,37.2692,106.1655
NA,Tunisia,2020-03-22T22:43:02Z,75,3,1,33.8869,9.5375
NA,Ukraine,2020-03-22T22:43:02Z,73,3,1,48.3794,31.1656
NA,Venezuela,2020-03-22T01:43:02Z,70,0,15,6.4238,-66.5897
NA,Senegal,2020-03-22T23:13:18Z,67,0,5,14.4974,-14.4524
Oklahoma,US,2020-03-22T18:13:51Z,67,2,0,35.5653,-96.9289
NA,New Zealand,2020-03-22T11:13:21Z,66,0,0,-40.9006,174.886
NA,Azerbaijan,2020-03-22T14:43:19Z,65,1,10,40.1431,47.5769
New Hampshire,US,2020-03-22T03:13:24Z,65,0,0,43.4525,-71.5639
Kansas,US,2020-03-22T22:43:03Z,64,2,0,38.5266,-96.7265
NA,Kazakhstan,2020-03-22T23:13:18Z,60,0,0,48.0196,66.9237
New Mexico,US,2020-03-22T03:13:24Z,57,0,0,34.8405,-106.2485
NA,Guadeloupe,2020-03-22T02:13:22Z,56,0,0,16.265,-61.551
NA,Oman,2020-03-22T23:13:19Z,55,0,17,21.4735,55.9754
NA,Georgia,2020-03-22T11:13:21Z,54,0,3,42.3154,43.3569
Saskatchewan,Canada,2020-03-22T23:43:03Z,52,0,0,52.9399,-106.4509
Vermont,US,2020-03-22T20:13:40Z,52,2,0,44.0459,-72.7107
Nebraska,US,2020-03-22T20:13:40Z,51,0,0,41.1254,-98.2681
NA,Trinidad and Tobago,2020-03-22T14:43:19Z,50,0,1,10.6918,-61.2225
Diamond Princess,US,2020-03-20T19:43:03Z,49,0,0,35.4437,139.638
Hawaii,US,2020-03-22T03:13:24Z,48,0,0,21.0943,-157.4983
NA,Reunion,2020-03-22T11:13:25Z,47,0,0,-21.1151,55.5364
Delaware,US,2020-03-22T18:13:51Z,47,0,0,39.3185,-75.5071
NA,Uzbekistan,2020-03-21T21:13:10Z,43,0,0,41.3775,64.5853
Idaho,US,2020-03-22T03:13:24Z,42,0,0,44.2405,-114.4788
NA,Afghanistan,2020-03-22T23:43:03Z,40,1,1,33.9391,67.71
NA,Cameroon,2020-03-22T11:43:03Z,40,0,0,3.848,11.5021
NA,Liechtenstein,2020-03-21T12:43:08Z,37,0,0,47.166,9.5554
NA,Martinique,2020-03-22T02:13:18Z,37,1,0,14.6415,-61.0242
NA,Cuba,2020-03-22T23:43:03Z,35,1,0,21.5218,-77.7812
Channel Islands,United Kingdom,2020-03-21T21:13:29Z,32,0,0,49.3723,-2.3644
Montana,US,2020-03-22T20:13:40Z,31,0,0,46.9219,-110.4544
NA,Congo (Kinshasa),2020-03-22T16:43:07Z,30,1,0,-4.0383,21.7587
NA,Nigeria,2020-03-22T23:13:20Z,30,0,2,9.082,8.6753
Grand Princess,US,2020-03-22T15:14:02Z,30,1,0,37.6489,-122.6655
Nova Scotia,Canada,2020-03-22T23:43:03Z,28,0,0,44.682,-63.7443
North Dakota,US,2020-03-21T23:13:18Z,28,0,0,47.5289,-99.784
NA,Bangladesh,2020-03-22T14:43:19Z,27,2,3,23.685,90.3563
Guam,US,2020-03-22T18:13:51Z,27,1,0,13.4443,144.7937
NA,Honduras,2020-03-22T11:43:03Z,26,0,0,15.2,-86.2419
NA,Bolivia,2020-03-22T15:13:56Z,24,0,0,-16.2902,-63.5887
NA,Ghana,2020-03-22T23:43:03Z,24,1,0,7.9465,-1.0232
Wyoming,US,2020-03-22T18:13:55Z,24,0,0,42.756,-107.3025
NA,Monaco,2020-03-22T23:13:20Z,23,0,1,43.7384,7.4246
Puerto Rico,US,2020-03-22T15:13:58Z,23,1,0,18.2208,-66.5901
Tasmania,Australia,2020-03-22T14:13:10Z,22,0,3,-41.4545,145.9707
